incident_id,vessel_mmsi,vessel_name,vessel_type,signal_type,gap_start_utc,gap_end_utc,gap_hours,last_seen_lat,last_seen_lon,reappear_lat,reappear_lon,gap_midpoint_lat,gap_midpoint_lon
INC-2024-11-18,2614400,,Undefined,ais_blackout,2024-11-17T05:20:32+01:00,2024-11-18T17:48:52+01:00,36.47,54.5397,16.54231,54.5397,16.54231,54.5397,16.54231
INC-2024-11-18,2614400,,Undefined,ais_blackout,2024-11-18T18:08:12+01:00,2024-11-18T23:02:32+01:00,4.91,54.5397,16.54231,54.5397,16.54231,54.5397,16.54231
INC-2024-11-18,2614400,,Undefined,ais_blackout,2024-11-18T23:02:32+01:00,2024-11-19T02:30:12+01:00,3.46,54.5397,16.54231,54.5397,16.54231,54.5397,16.54231
INC-2024-11-18,2614400,,Undefined,ais_blackout,2024-11-19T02:30:12+01:00,2024-11-19T10:42:02+01:00,8.2,54.5397,16.54231,54.5397,16.54231,54.5397,16.54231
INC-2024-11-18,2614700,,Undefined,ais_blackout,2024-11-17T13:01:31+01:00,2024-11-17T16:05:11+01:00,3.06,54.09472,15.06392,54.09472,15.06392,54.09472,15.06392
INC-2024-11-18,2614700,,Undefined,ais_blackout,2024-11-17T16:05:11+01:00,2024-11-18T15:49:41+01:00,23.74,54.09472,15.06392,54.09472,15.06392,54.09472,15.06392
INC-2024-11-18,2614700,,Undefined,ais_blackout,2024-11-18T16:07:51+01:00,2024-11-18T18:42:51+01:00,2.58,54.09472,15.06392,54.09472,15.06392,54.09472,15.06392
INC-2024-11-18,2614700,,Undefined,ais_blackout,2024-11-18T18:42:51+01:00,2024-11-19T11:16:31+01:00,16.56,54.09472,15.06392,54.09472,15.06392,54.09472,15.06392
INC-2024-11-18,111265120,FFK STC 120,Undefined,ais_dark_approach,,,,55.98909,15.79404,55.98909,15.79404,55.98909,15.79404
INC-2024-11-18,209056000,NORDIC PORTO,Cargo,ais_dark_approach,,,,54.64351,15.00111,54.64351,15.00111,54.64351,15.00111
INC-2024-11-18,209731000,DELAMAR,Cargo,ais_dark_approach,,,,55.86626,15.8652,55.86626,15.8652,55.86626,15.8652
INC-2024-11-18,209764000,MARCO POLO,Passenger,ais_blackout,2024-11-16T08:27:46+01:00,2024-11-17T12:37:47+01:00,28.17,54.92386,15.00021,54.93146,15.00039,54.92766,15.0003
INC-2024-11-18,209764000,MARCO POLO,Passenger,ais_blackout,2024-11-17T15:12:17+01:00,2024-11-19T06:18:08+01:00,39.1,55.08666,16.24931,55.88556,16.12377,55.48611,16.18654
INC-2024-11-18,209764000,MARCO POLO,Passenger,ais_blackout,2024-11-19T08:04:15+01:00,2024-11-19T21:31:04+01:00,13.45,55.99994,15.27392,55.9999,15.2506,55.99992,15.26226
INC-2024-11-18,210223000,MV MANUELA S,Cargo,ais_dark_approach,,,,55.86677,15.89847,55.86677,15.89847,55.86677,15.89847
INC-2024-11-18,210332000,GERDA,Cargo,ais_dark_approach,,,,55.50635,15.00073,55.50635,15.00073,55.50635,15.00073
INC-2024-11-18,210362000,SANTIAGO I,Tanker,ais_dark_approach,,,,55.4777,15.00027,55.4777,15.00027,55.4777,15.00027
INC-2024-11-18,210388000,LAUNKALNE,Cargo,ais_blackout,2024-11-17T07:15:47+01:00,2024-11-17T13:25:03+01:00,6.15,55.76485,15.55541,55.96698,16.24903,55.86592,15.90222
INC-2024-11-18,210388000,LAUNKALNE,Cargo,ais_blackout,2024-11-17T13:43:33+01:00,2024-11-17T23:26:32+01:00,9.72,55.96698,16.24903,55.57711,15.04013,55.77204,15.64458
INC-2024-11-18,210388000,LAUNKALNE,Cargo,ais_blackout,2024-11-17T23:27:09+01:00,2024-11-18T03:39:21+01:00,4.2,55.57711,15.04013,55.69634,15.71806,55.63672,15.3791
INC-2024-11-18,210388000,LAUNKALNE,Cargo,ais_blackout,2024-11-18T03:39:21+01:00,2024-11-19T03:43:00+01:00,24.06,55.69634,15.71806,55.64921,15.4874,55.67277,15.60273
INC-2024-11-18,210388000,LAUNKALNE,Cargo,ais_blackout,2024-11-19T03:45:00+01:00,2024-11-19T08:23:52+01:00,4.65,55.64921,15.4874,55.61569,15.16188,55.63245,15.32464
INC-2024-11-18,210504000,HELME,Cargo,ais_dark_approach,,,,55.51338,15.00058,55.51338,15.00058,55.51338,15.00058
