mmsi,max_jump_km
100000000,2.3
109080297,5.8
109220003,4.7
111211501,2.2
111211502,107.0
111211504,25.5
111211505,58.6
111211507,56.4
111211508,26.8
111211509,56.9
111211510,26.1
111211511,81.6
111211512,134.4
111211513,57.1
111211514,2.2
111211554,97.3
111211590,27.0
111211591,10.0
111211593,4.0
111211595,29.3
111219502,15.4
111219504,99.6
111219507,204.6
111219508,2.8
111219510,4.8
111219512,199.2
111219513,72.0
111219514,101.3
111219515,204.1
111219516,204.1
111219517,120.0
111219518,76.3
111219519,98.0
111219520,70.8
111219521,10.6
111219522,40.8
111230302,183.1
111230306,248.9
111244513,304.6
111257000,14.6
111257001,44.0
111257002,21.1
111257003,22.2
111257004,2.0
111257005,76.6
111257006,31.5
111257007,97.1
111257008,103.8
111257009,64.4
111257010,124.2
111257011,118.6
111257012,148.8
111257013,35.6
111257015,98.8
111257507,17.2
111257517,99.1
111257601,19.7
111257603,186.4
111261104,130.6
111261105,33.9
111261108,28.3
111261109,41.8
111261110,12.3
111261111,7.5
111261113,40.0
111261115,80.3
111261116,10.6
111261501,2.9
111261503,17.6
111261504,16.4
111261505,3.3
111261507,10.9
111261508,20.7
111261509,4.6
111261510,9.7
111265101,190.5
111265102,68.9
111265103,38.7
111265120,2.1
111265121,37.3
111265122,12.7
111265123,22.9
111265124,15.7
111265125,63.7
111265127,76.6
111265129,34.9
111265130,12.0
111265131,41.2
111265132,104.2
111265135,47.1
111265136,12.4
111265137,36.9
111265138,46.8
111265139,25.2
111265521,25.6
111265522,16.1
111265523,55.5
111265524,18.8
111265525,61.0
111265526,75.6
111265527,34.5
111265528,12.5
111265530,32.7
111265531,86.0
111265532,88.5
111265533,71.9
111265534,26.5
111265535,24.1
111265536,12.4
111265537,30.0
111265538,50.1
111265539,2.3
111265540,5.6
111265542,18.7
111265543,529.8
111265544,28.4
111265545,362.6
111265548,142.5
111265555,27.2
111265556,11.6
111265557,63.3
111265558,21.4
111265559,22.1
111265581,105.7
111265582,40.5
111265583,16.1
111265584,23.4
111265585,5.4
111265586,21.3
111265587,56.0
111265911,70.1
111265999,403.7
111277501,4.4
111277502,389.1
111277503,16.5
111277504,3.9
111503001,91.1
111503003,72.3
111619101,192.5
119000922,2.1
205146000,4.3
205196000,552.1
205340000,171.9
205482000,277.3
205555000,2.1
205689000,8.3
205772000,123.3
205787000,12.5
207138000,298.1
209015000,252.1
209056000,315.7
209075000,174.4
209139000,5.2
209151000,2.6
209168000,292.0
209183000,416.4
209184000,99.7
209217000,368.4
209221000,244.6
209276000,58.5
209297000,5.1
209314000,287.5
209332000,6.6
209341000,19.3
209415000,285.9
209452000,2.8
209455000,244.2
209467000,34.6
209488000,10.8
209525000,352.7
209530000,5.0
209541000,4.5
209543000,14.5
209608000,291.2
209610000,6.5
209621000,258.2
209624000,221.3
209659000,6.8
209664000,4.0
209672000,8.3
209715000,3.0
209731000,6.6
209764000,83.8
209823000,310.4
209903000,5.7
209916000,332.3
209938000,41.2
209952000,257.0
209955000,33.0
209968000,316.7
209974000,777.3
209982000,172.1
209989000,97.6
210008000,30.0
210017000,9.7
210028000,260.5
210041000,466.2
210048000,2.6
210052000,4.3
210070000,185.4
210071000,14.4
210090000,238.8
210095000,432.5
210100000,244.7
210148000,42.8
210149000,35.9
210155000,12.7
210167000,270.8
210174000,390.3
210178000,22.4
210195000,65.7
210223000,29.6
210231000,9.1
210239000,149.2
210331000,23.0
210332000,15.8
210340000,316.3
210353000,6.1
210359000,114.8
210387000,455.5
210388000,36.2
210399000,81.5
210418000,173.4
210425000,13.5
210431000,252.9
210444000,11.0
210445000,13.9
210524000,330.6
210525000,339.7
210533000,316.3
210534000,320.8
210545000,41.1
210546000,337.4
210547000,329.3
210548000,3.4
210549000,195.1
210550000,118.1
210552000,252.3
210553000,3.8
210568000,2.8
210607000,9.8
210620000,337.2
210665000,301.6
210674000,277.7
210695000,259.5
210701000,370.0
210708000,12.8
210754000,21.1
210763000,346.3
210765000,54.9
210803000,414.6
210898064,48.3
210898070,40.7
210898080,58.3
210898108,13.2
210935000,14.8
210953000,346.3
211002010,83.8
211003806,21.2
211100030,13.4
211101510,161.8
211101670,263.3
211101810,3.7
211102510,12.7
211104380,12.7
211105880,2.8
211107300,29.9
211109550,3.8
211110940,13.7
211112320,16.3
211115660,66.8
211116790,75.5
211117840,6.7
211117900,2.1
211119390,39.5
211119620,52.0
211120870,21.0
211121970,156.4
211122300,12.1
211124100,20.5
211124710,135.4
211125610,5.6
211126670,6.4
211127480,47.0
211129890,273.1
211130000,6.8
211130410,103.0
211130870,3.2
211131410,43.6
211132210,2.1
211132630,90.4
211132660,55.5
211133710,5.4
211134060,19.8
211134090,21.1
211135000,1219.0
211135050,312.7
211136270,82.3
211137460,7.6
211138490,45.3
211139010,3.0
211140210,3.6
211141000,6.6
211142170,61.8
211142800,13.0
211143890,286.3
211146780,434.3
211149000,28.1
211149270,95.2
211150810,2.1
211152530,12.5
211153170,27.0
211153420,4.4
211153490,429.7
211154270,9.4
211155150,115.0
211156220,15.0
211156470,386.2
211156800,144.9
211158080,58.8
211158630,125.5
211159320,17.0
211159730,9.9
211159740,102.9
211160770,4.6
211161390,204.8
211162050,5.4
211162180,9.4
211165140,17.4
211166410,48.2
211168490,8.6
211171750,17.9
211172730,7.9
211177200,19.5
211178240,676.9
211178460,59.2
211179030,46.5
211179720,31.6
211182310,47.7
211184690,8.3
211185040,23.9
211185280,524.5
211187550,26.1
211188000,109.5
211189030,21.9
211189180,20.1
211189560,22.7
211189750,3.4
211190000,101.9
211191610,11.1
211192880,8.0
211193020,208.6
211193180,104.3
211193720,42.3
211195010,21.2
211195870,27.2
211197410,14.1
211198060,7.2
211198680,6.0
211200120,87.0
211200150,4.9
211200560,5.9
211202400,151.7
211205970,143.5
211207710,2.6
211208060,22.1
211208850,32.9
211210150,2.7
211210160,2.5
211210190,18.7
211210380,2.4
211210490,49.9
211210920,6.1
211211180,3.6
211211230,3.7
211211330,7.6
211211480,2.2
211211500,2.8
211211520,20.0
211211730,6.2
211211760,4.3
211212740,142.5
211212750,38.1
211212770,136.1
211212840,40.6
211212880,63.7
211212910,18.9
211212920,15.8
211214250,2.3
211214470,112.5
211215100,86.8
211215210,5.7
211215500,2.8
211215910,57.7
211216500,133.6
211216570,6.2
211217290,6.4
211222290,7.5
211222680,2.1
211222710,8.8
211223120,7.1
211223210,3.6
211224560,169.8
211224740,15.2
211225780,6.2
211226360,17.5
211226940,172.1
211227550,182.2
211227920,8.5
211228510,52.9
211228710,37.2
211230400,193.1
211230940,7.7
211231360,206.6
211232830,4.6
211233270,115.0
211233580,110.1
211235420,120.3
211238020,40.4
211239210,56.5
211240410,2.9
211243090,14.6
211245320,2.6
211249410,3.6
211249620,5.5
211251380,47.1
211258290,2.9
211261500,14.8
211261510,54.3
211261620,18.0
211263600,2.9
211265530,277.0
211265560,16.5
211265620,6.4
211269540,74.6
211269680,3.6
211269690,3.8
211272150,349.4
211273620,2.5
211275750,103.8
211276390,24.3
211278890,5.3
211278920,3.4
211280780,6.8
211281490,88.7
211281860,5.4
211283420,16.0
211283440,91.3
211283530,34.6
211284030,232.5
211284080,5.7
211284350,177.3
