mmsi,reason,span_km,ping_count,name,type
0,base_station,724.926,27656,MMSI 0,other
1,base_station,480.465,485,Duopilen,other
2,base_station,312.361,4,MMSI 2,other
5,base_station,378.16,159,Skanti Uais 2000,other
148,base_station,780.717,2339,Ss Martha St,military
192,base_station,133.344,74,MMSI 192,other
211,base_station,270.72,21,MMSI 211,other
636,base_station,123.208,74,Kinyras,tanker
1001,base_station,534.928,36,Airborne Sar,other
1024,stationary,0.011,2,MMSI 1024,other
2116,stationary,0.015,2,MMSI 2116,other
2157,base_station,350.487,8,Aw139,other
2165,base_station,489.286,51,MMSI 2165,other
2328,base_station,19.054,5,MMSI 2328,other
2332,base_station,645.314,642,MMSI 2332,other
2352,base_station,99.343,830,MMSI 2352,other
3638,stationary,0.089,816,3638,other
4747,stationary,0.003,6,MMSI 4747,other
5322,base_station,1074.23,3297,M/S Jan2,other
8192,stationary,0.01,2,MMSI 8192,other
49111,base_station,626.611,63,Test,other
49114,base_station,740.779,45,Test,other
261505,base_station,322.45,547,Sar0511,military
262195,stationary,0.0,2,MMSI 262195,other
305036,base_station,502.414,416,Kaie,cargo
736224,base_station,8.155,3,Greif,fishing
1037330,base_station,107.536,62,Wench,other
1168452,base_station,74.157,4,MMSI 1168452,other
1193046,base_station,139.592,130,MMSI 1193046,other
2112454,stationary,0.0,4,MMSI 2112454,other
2112481,stationary,0.0,2,MMSI 2112481,other
2112521,stationary,0.0,2,MMSI 2112521,other
2112522,stationary,0.0,2,MMSI 2112522,other
2112641,base_station,13.498,8,MMSI 2112641,other
2112642,base_station,13.498,7,MMSI 2112642,other
2112643,stationary,0.0,6,MMSI 2112643,other
2112644,stationary,0.0,6,MMSI 2112644,other
2180172,stationary,0.019,22,MMSI 2180172,other
2180173,stationary,0.041,18,MMSI 2180173,other
2182607,stationary,0.008,74,MMSI 2182607,other
2182801,stationary,0.011,36,MMSI 2182801,other
2182803,stationary,0.007,74,MMSI 2182803,other
2182805,stationary,0.012,74,MMSI 2182805,other
2182807,base_station,32.626,1381,MMSI 2182807,other
2182809,stationary,0.021,1192,MMSI 2182809,other
2182811,stationary,0.031,260,MMSI 2182811,other
2182813,stationary,0.013,648,MMSI 2182813,other
2182815,stationary,0.004,18,MMSI 2182815,other
2189827,stationary,0.0,2,MMSI 2189827,other
2190047,stationary,0.006,3202,MMSI 2190047,other
2190048,base_station,0.322,2357,MMSI 2190048,other
2190049,base_station,96.116,3203,MMSI 2190049,other
2190051,base_station,825.804,3187,MMSI 2190051,other
2190052,base_station,261.93,3141,MMSI 2190052,other
2190064,base_station,194.566,3203,MMSI 2190064,other
2190067,stationary,0.003,2350,MMSI 2190067,other
2190068,base_station,20.164,3204,MMSI 2190068,other
2190069,base_station,0.763,3203,MMSI 2190069,other
