incident_id,incident_vessel_label,gfw_vesselId,shipname,flag,mmsi,imo,event_type,count
INC-2025-01-26,Vezhen,e03af7b8a-a6ce-7fc3-8411-cd483d44290c,VEZHEN,MLT,229659000,9937270,port_visits,30
INC-2025-01-26,Vezhen,e03af7b8a-a6ce-7fc3-8411-cd483d44290c,VEZHEN,MLT,229659000,9937270,loitering,1
INC-2025-01-26,Vezhen,e03af7b8a-a6ce-7fc3-8411-cd483d44290c,VEZHEN,MLT,229659000,9937270,encounters,0
INC-2025-01-26,Vezhen,e03af7b8a-a6ce-7fc3-8411-cd483d44290c,VEZHEN,MLT,229659000,9937270,gaps,0
INC-2025-01-26,Vezhen,e03af7b8a-a6ce-7fc3-8411-cd483d44290c,VEZHEN,MLT,229659000,9937270,fishing,0
INC-2025-01-26,Vezhen,179a7b8ca-a7d5-378d-6448-a536e470c83f,DE ZHEN,CHN,412170117,,port_visits,0
INC-2025-01-26,Vezhen,179a7b8ca-a7d5-378d-6448-a536e470c83f,DE ZHEN,CHN,412170117,,loitering,0
INC-2025-01-26,Vezhen,179a7b8ca-a7d5-378d-6448-a536e470c83f,DE ZHEN,CHN,412170117,,encounters,0
INC-2025-01-26,Vezhen,179a7b8ca-a7d5-378d-6448-a536e470c83f,DE ZHEN,CHN,412170117,,gaps,0
INC-2025-01-26,Vezhen,179a7b8ca-a7d5-378d-6448-a536e470c83f,DE ZHEN,CHN,412170117,,fishing,0
INC-2025-01-26,Vezhen,75301a57f-f811-ed59-d523-32076992b161,DE ZHEN,CHN,413231520,,port_visits,82
INC-2025-01-26,Vezhen,75301a57f-f811-ed59-d523-32076992b161,DE ZHEN,CHN,413231520,,loitering,0
INC-2025-01-26,Vezhen,75301a57f-f811-ed59-d523-32076992b161,DE ZHEN,CHN,413231520,,encounters,0
INC-2025-01-26,Vezhen,75301a57f-f811-ed59-d523-32076992b161,DE ZHEN,CHN,413231520,,gaps,0
INC-2025-01-26,Vezhen,75301a57f-f811-ed59-d523-32076992b161,DE ZHEN,CHN,413231520,,fishing,0
INC-2025-12-31,Fitburg,db3d57125-5f6f-7c2b-37d4-c0fb987e69c6,FITBURG,KNA,341438000,9250397,port_visits,0
INC-2025-12-31,Fitburg,db3d57125-5f6f-7c2b-37d4-c0fb987e69c6,FITBURG,KNA,341438000,9250397,loitering,0
INC-2025-12-31,Fitburg,db3d57125-5f6f-7c2b-37d4-c0fb987e69c6,FITBURG,KNA,341438000,9250397,encounters,0
INC-2025-12-31,Fitburg,db3d57125-5f6f-7c2b-37d4-c0fb987e69c6,FITBURG,KNA,341438000,9250397,gaps,0
INC-2025-12-31,Fitburg,db3d57125-5f6f-7c2b-37d4-c0fb987e69c6,FITBURG,KNA,341438000,9250397,fishing,0
INC-2025-12-31,Fitburg,66e40591e-e50f-154c-d2b2-538cc08a1f20,FINEX,DEU,211366350,9250397,port_visits,0
INC-2025-12-31,Fitburg,66e40591e-e50f-154c-d2b2-538cc08a1f20,FINEX,DEU,211366350,9250397,loitering,0
INC-2025-12-31,Fitburg,66e40591e-e50f-154c-d2b2-538cc08a1f20,FINEX,DEU,211366350,9250397,encounters,0
INC-2025-12-31,Fitburg,66e40591e-e50f-154c-d2b2-538cc08a1f20,FINEX,DEU,211366350,9250397,gaps,0
INC-2025-12-31,Fitburg,66e40591e-e50f-154c-d2b2-538cc08a1f20,FINEX,DEU,211366350,9250397,fishing,0
