scope,source_quarter,month,entity,volume_kbd,share_pct
Global,kse_shadow_fleet_tracker_april-2026,Jan,Other,2362,71
Global,kse_shadow_fleet_tracker_april-2026,Feb,Other,1991,68
Global,kse_shadow_fleet_tracker_april-2026,Mar,Other,2568,73
Global,kse_shadow_fleet_tracker_april-2026,Jan,UAE. Nova Shipmanagement Llc-Fz,195,6
Global,kse_shadow_fleet_tracker_april-2026,Feb,Russia. South Fleet Ltd,227,8
Global,kse_shadow_fleet_tracker_april-2026,Mar,Russia. South Fleet Ltd,179,5
Global,kse_shadow_fleet_tracker_april-2026,Jan,UAE. Dreamer Shipmanagement Llc-Fz,173,5
Global,kse_shadow_fleet_tracker_april-2026,Feb,Russia. Invest Fleet Ltd,144,5
Global,kse_shadow_fleet_tracker_april-2026,Mar,UAE. Albatross Shipmanagement,130,4
Global,kse_shadow_fleet_tracker_april-2026,Jan,Russia. South Fleet Ltd,145,4
Global,kse_shadow_fleet_tracker_april-2026,Feb,UAE. Nova Shipmanagement Llc-Fz,104,4
Global,kse_shadow_fleet_tracker_april-2026,Mar,UAE. Nova Shipmanagement Llc-Fz,118,3
Global,kse_shadow_fleet_tracker_april-2026,Jan,Russia. North Fleet Ltd,80,2
Global,kse_shadow_fleet_tracker_april-2026,Feb,UAE. Dreamer Shipmanagement Llc-Fz,90,3
Global,kse_shadow_fleet_tracker_april-2026,Mar,Russia. Scf Tm Ltd,100,3
Global,kse_shadow_fleet_tracker_april-2026,Jan,Russia. Idas Llc,79,2
Global,kse_shadow_fleet_tracker_april-2026,Feb,Turkey. Pergamon Denizcilik Isletmeler,77,3
Global,kse_shadow_fleet_tracker_april-2026,Mar,UAE. Dreamer Shipmanagement Llc-Fz,90,3
Global,kse_shadow_fleet_tracker_april-2026,Jan,UAE. Albatross Shipmanagement,77,2
Global,kse_shadow_fleet_tracker_april-2026,Feb,Azerbaijan. Marisyn Fluxhaven Llc,73,2
Global,kse_shadow_fleet_tracker_april-2026,Mar,Russia. Invest Fleet Ltd,76,2
Global,kse_shadow_fleet_tracker_april-2026,Jan,Turkey. Emt Gemi Isletmeciligi As,61,2
Global,kse_shadow_fleet_tracker_april-2026,Feb,China. Aura Vibes Co Ltd,55,2
Global,kse_shadow_fleet_tracker_april-2026,Mar,Marshall Islands. Linghong Shipping Ltd,65,2
Global,kse_shadow_fleet_tracker_april-2026,Jan,China. Dinghui Hk Shipping Co Ltd,50,1
Global,kse_shadow_fleet_tracker_april-2026,Feb,China. Nordic Crius Shipping Co Ltd,55,2
Global,kse_shadow_fleet_tracker_april-2026,Mar,Russia. Idas Llc,59,2
