source,entry_id,name,type,country,imo,mmsi,flag,owner,notes,fetched_at
OFAC_SDN,4238,MAR AZUL,vessel,Cuba,,,Cuba,Samir de Navegacion S.A.,-0-,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,4243,EBANO,vessel,Panama,7406784,,Panama,-0-,Vessel Registration Identification IMO 7406784; f.k.a. 'ANA I'; f.k.a. 'SAND SWAN'.,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,4249,TIFON,vessel,Cuba,7206512,,Cuba,-0-,Vessel Registration Identification IMO 7206512.,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,15036,ARTAVIL,vessel,Iran,9187629,,Iran,-0-,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag None Identified; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187629; MMSI 572469210; f.k.a. 'ALPHA'; Linked To: NATIONAL IRANIAN TANKER COMPANY.,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,15037,ARK III,vessel,Iran,9187655,,Iran,-0-,Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187655; f.k.a. 'ABADEH'; f.k.a. 'CRYSTAL'; f.k.a. 'SUNDIAL'; f.k.a. 'ARK'; Linked To: NATIONAL IRANIAN TANKER COMPANY.,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,15038,ARGO I,vessel,Iran,9187667,,Iran,-0-,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187667; a.k.a. 'CHRISTINA'; Linked To: NATIONAL IRANIAN TANKER COMPANY.,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,15039,ARNICA,vessel,Iran,9187643,,Iran,-0-,Former Vessel Flag Malta; alt. Former Vessel Flag Tuvalu; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187643; MMSI 572467210; Linked To: NATIONAL IRANIAN TANKER COMPANY.,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,15040,APAMA,vessel,Iran,9187631,,Iran,-0-,Former Vessel Flag Tuvalu; alt. Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187631; MMSI 256845000; Linked To: NATIONAL IRANIAN TANKER COMPANY.,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,15041,BANEH,vessel,Iran,8508462,,Iran,-0-,Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 8508462; MMSI 422141000; Linked To: NATIONAL IRANIAN TANKER COMPANY.,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,15042,DIAMOND II,vessel,Iran,9218478,,Iran,-0-,Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9218478; MMSI 256865000; Linked To: NATIONAL IRANIAN TANKER COMPANY.,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,15043,DREAM II,vessel,Iran,9356593,,Iran,-0-,Former Vessel Flag Cyprus; alt. Former Vessel Flag Tanzania; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9356593; MMSI 677049200; Linked To: NATIONAL IRANIAN TANKER COMPANY.,2026-05-18T12:26:15.375080+00:00
OFAC_SDN,15044,DEEP SEA,vessel,Iran,9218492,,Iran,-0-,Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9218492; MMSI 256862000; Linked To: NATIONAL IRANIAN TANKER COMPANY.,2026-05-18T12:26:15.375080+00:00
