MMSI,Name,ship_type,IMO,n_suspicious_points,avg_crit,max_crit,min_sog,avg_sog,first_seen,last_seen,duration_minutes,date_utc
211156470,WINDCAT 42,HSC,,183,0.70423555,1.0,0.1,1.6469945355191256,2022-09-26 07:59:31+02:00,2022-09-26 14:09:42+02:00,370.18333333333334,2022-09-26
211404810,ESCHWEGE,Law enforcement,9252644,16,1.0,1.0,0.6,1.69375,2022-09-26 16:48:03+02:00,2022-09-26 16:50:35+02:00,2.533333333333333,2022-09-26
211590520,TARJA,Sailing,,7,0.5993262,1.0,2.3,2.914285714285714,2022-09-26 15:35:39+02:00,2022-09-26 15:47:10+02:00,11.516666666666667,2022-09-26
211695070,SEASQUARE,Undefined,,75,0.8403303,1.0,1.9,3.1679999999999997,2022-09-26 02:00:36+02:00,2022-09-26 03:50:31+02:00,109.91666666666667,2022-09-26
211745870,,Undefined,,80,0.6563499,1.0,0.2,0.7725,2022-09-26 07:57:20+02:00,2022-09-26 11:42:03+02:00,224.71666666666667,2022-09-26
211838230,KREBS GEO,Undefined,8981913,7742,0.90586776,1.0,0.1,1.9501808318264013,2022-09-26 02:00:14+02:00,2022-09-26 20:26:42+02:00,1106.4666666666667,2022-09-26
218849000,WINDEA LEIBNIZ,Undefined,9769037,849,0.95186114,1.0,0.1,0.823321554770318,2022-09-26 02:05:37+02:00,2022-09-26 21:13:53+02:00,1148.2666666666667,2022-09-26
219000855,FN 304 JEGENS,Fishing,,1886,0.7253292,1.0,0.2,2.3277306468716863,2022-09-26 02:37:51+02:00,2022-09-26 09:34:05+02:00,416.23333333333335,2022-09-26
219000897,ANNI HOLM SG25,Undefined,,528,0.93300146,1.0,2.4,2.5488636363636363,2022-09-26 02:00:00+02:00,2022-09-26 03:25:31+02:00,85.51666666666667,2022-09-26
219005909,INGER KRISTINE HM17,Fishing,,132,1.0,1.0,0.8,1.1742424242424243,2022-09-26 18:48:47+02:00,2022-09-27 01:49:15+02:00,420.46666666666664,2022-09-26
219017325,ACCOMPLISHER,Other,9663075,243,1.0,1.0,0.1,1.0794238683127573,2022-09-26 09:02:51+02:00,2022-09-26 09:33:56+02:00,31.083333333333332,2022-09-26
219022000,SARON S158,Fishing,9212682,1777,0.8528517,1.0,0.2,1.9097355092853123,2022-09-26 03:35:02+02:00,2022-09-27 01:35:42+02:00,1320.6666666666667,2022-09-26
219022188,SVITZER MADEIRA,Tug,9292905,539,1.0,1.0,0.6,1.285899814471243,2022-09-26 21:11:15+02:00,2022-09-26 22:23:14+02:00,71.98333333333333,2022-09-26
219023738,EMLI PILEGAARD,Undefined,,1438,0.85958415,1.0,1.6,1.9039638386648123,2022-09-26 02:00:18+02:00,2022-09-26 07:07:08+02:00,306.8333333333333,2022-09-26
219024194,SERVER,Tug,9364538,1461,0.7112696,1.0,0.4,1.75886379192334,2022-09-26 03:40:44+02:00,2022-09-27 01:09:38+02:00,1288.9,2022-09-26
219026489,WORLD TERRAL,HSC,9896012,2728,1.0,1.0,0.1,0.8569648093841643,2022-09-26 08:47:07+02:00,2022-09-26 17:19:30+02:00,512.3833333333333,2022-09-26
219027026,SKAGERAK,Undefined,,1371,0.7543875,1.0,2.0,2.4055433989788475,2022-09-26 02:00:08+02:00,2022-09-26 23:40:31+02:00,1300.3833333333334,2022-09-26
219028043,NORTH SEA,Undefined,,850,0.73326457,1.0,1.8,2.194470588235294,2022-09-26 02:04:44+02:00,2022-09-27 01:35:03+02:00,1410.3166666666666,2022-09-26
219028351,MHO APOLLO,HSC,9915545,1441,0.921543,1.0,0.1,0.696530187369882,2022-09-26 08:27:43+02:00,2022-09-26 13:48:08+02:00,320.4166666666667,2022-09-26
219030855,CAPRICORN,Sailing,,53,0.81777096,1.0,0.4,3.056603773584906,2022-09-26 09:22:02+02:00,2022-09-26 11:31:34+02:00,129.53333333333333,2022-09-26
219414000,HAFNIA LUPUS,Tanker,9461685,1180,0.7148712,1.0,0.5,1.6091525423728814,2022-09-26 03:21:18+02:00,2022-09-27 01:13:17+02:00,1311.9833333333333,2022-09-26
219871000,AS357 TRUTTE,Undefined,,111,0.71859145,1.0,1.3,2.6972972972972973,2022-09-26 02:00:02+02:00,2022-09-26 02:49:02+02:00,49.0,2022-09-26
220317000,SG92 GI-BRI,Fishing,,1616,0.80519164,1.0,0.1,2.544678217821782,2022-09-26 07:29:54+02:00,2022-09-27 01:59:53+02:00,1109.9833333333333,2022-09-26
220323000,SLESVIG,Fishing,,1524,0.8047373,1.0,0.3,2.121916010498688,2022-09-26 04:56:25+02:00,2022-09-26 09:49:48+02:00,293.3833333333333,2022-09-26
220336000,R41 POLARBJOERN,Undefined,,479,0.92656195,1.0,1.6,2.892275574112735,2022-09-26 02:00:03+02:00,2022-09-27 00:43:50+02:00,1363.7833333333333,2022-09-26
220353000,R3.ORION,Undefined,422090091,558,1.0,1.0,2.4,2.7808243727598567,2022-09-26 02:10:06+02:00,2022-09-27 01:54:46+02:00,1424.6666666666667,2022-09-26
229964000,RS SENTINEL,Undefined,7106877,1635,0.94249356,1.0,0.1,0.6135168195718654,2022-09-26 02:02:49+02:00,2022-09-27 01:28:19+02:00,1405.5,2022-09-26
232033527,NORTHERN STORM,Dredging,9180310,8,0.97842556,1.0,3.8,3.8375,2022-09-26 02:52:06+02:00,2022-09-26 08:47:47+02:00,355.68333333333334,2022-09-26
232040181,WEM5,HSC,9942471,55,1.0,1.0,0.1,1.0727272727272728,2022-09-26 09:01:33+02:00,2022-09-26 09:14:42+02:00,13.15,2022-09-26
235090843,MCS SIROCCO,Undefined,9643764,1867,0.92680013,1.0,0.1,1.3559185859667917,2022-09-26 02:00:17+02:00,2022-09-26 18:44:55+02:00,1004.6333333333333,2022-09-26
235095776,NJORD LAPWING,HSC,,265,1.0,1.0,0.1,1.6875471698113207,2022-09-26 09:17:27+02:00,2022-09-26 10:16:29+02:00,59.03333333333333,2022-09-26
245168000,SEA ALFA,Undefined,9466271,344,1.0,1.0,0.1,0.4116279069767442,2022-09-26 02:06:56+02:00,2022-09-27 01:59:38+02:00,1432.7,2022-09-26
246878000,CORAL ENERGY,Tanker,9617698,66,0.89683014,1.0,2.5,3.272727272727273,2022-09-26 08:03:39+02:00,2022-09-26 11:33:33+02:00,209.9,2022-09-26
257608500,BRIS,Undefined,,211,0.9777765,1.0,1.8,1.8943127962085307,2022-09-26 02:18:44+02:00,2022-09-26 04:43:44+02:00,145.0,2022-09-26
261000771,TENANGA,Sailing,,8,1.0,1.0,2.0,2.825,2022-09-26 19:47:54+02:00,2022-09-26 20:34:22+02:00,46.46666666666667,2022-09-26
261037890,GLITT,Sailing,,5,0.99890727,1.0,0.7,3.08,2022-09-26 05:08:19+02:00,2022-09-26 09:00:50+02:00,232.51666666666668,2022-09-26
261039410,S/Y TOBIAS,Undefined,,76,0.7742937,1.0,0.8,3.4328947368421048,2022-09-26 02:13:25+02:00,2022-09-26 05:55:30+02:00,222.08333333333334,2022-09-26
261513000,LADY DANA 44,Pleasure,,1,1.0,1.0,3.9,3.9,2022-09-26 21:11:58+02:00,2022-09-26 21:11:58+02:00,0.0,2022-09-26
265694890,MAI TAI,Pleasure,,4,0.9711377,1.0,0.1,1.575,2022-09-26 23:37:03+02:00,2022-09-26 23:39:01+02:00,1.9666666666666666,2022-09-26
265703000,VG59 LIPTON,Fishing,,1883,0.765047,1.0,0.6,2.5439723844928306,2022-09-26 04:22:01+02:00,2022-09-26 11:25:01+02:00,423.0,2022-09-26
266057000,FG 96 CINDY VESTER,Undefined,,2111,0.9404136,1.0,2.0,2.569256276646139,2022-09-26 02:00:00+02:00,2022-09-26 09:31:30+02:00,451.5,2022-09-26
266066000,INGUN,Fishing,,2530,0.79322463,1.0,0.1,1.9739525691699606,2022-09-26 02:15:16+02:00,2022-09-26 13:55:55+02:00,700.65,2022-09-26
266068000,,Undefined,,8,0.6640948,1.0,2.2,3.4375,2022-09-26 16:32:51+02:00,2022-09-26 17:01:18+02:00,28.45,2022-09-26
266150000,SANDEFJORD,Undefined,,1143,0.8789013,1.0,0.1,1.931758530183727,2022-09-26 02:00:02+02:00,2022-09-26 07:25:51+02:00,325.81666666666666,2022-09-26
266199000,ATLANTIC,Fishing,8805468,2101,0.8912561,1.0,1.7,2.146834840552118,2022-09-26 17:27:26+02:00,2022-09-27 00:21:26+02:00,414.0,2022-09-26
266332000,STJARNVIK,Fishing,,770,0.68441826,1.0,1.3,2.5423376623376623,2022-09-26 05:31:59+02:00,2022-09-27 01:59:57+02:00,1227.9666666666667,2022-09-26
266461000,GG707 ARKO,Fishing,9814715,2520,0.98801637,1.0,0.1,1.8647619047619046,2022-09-26 02:50:40+02:00,2022-09-27 01:59:39+02:00,1388.9833333333333,2022-09-26
311000249,JB 119,Other,8768062,19,1.0,1.0,0.1,0.1105263157894737,2022-09-26 02:19:58+02:00,2022-09-26 23:14:38+02:00,1254.6666666666667,2022-09-26
311601000,GAS GALAXY,Tanker,9161065,21,1.0,1.0,3.3,3.4952380952380957,2022-09-26 05:15:26+02:00,2022-09-26 05:17:47+02:00,2.35,2022-09-26
353674000,SEA DISCOVERY,Undefined,8702109,566,0.9643296,1.0,0.1,1.0743816254416962,2022-09-26 03:22:27+02:00,2022-09-27 01:53:06+02:00,1350.65,2022-09-26
356593000,GEM NO.1,Undefined,9735361,3523,0.8571914,1.0,0.5,1.8101901788248653,2022-09-26 02:00:02+02:00,2022-09-27 01:48:43+02:00,1428.6833333333334,2022-09-26
371255000,SEA ENTERPRISE,Other,9266633,237,0.8931671,1.0,2.8,3.778481012658228,2022-09-26 04:46:58+02:00,2022-09-27 01:22:29+02:00,1235.5166666666667,2022-09-26
538005403,STI BATTERSEA,Tanker,9691723,851,0.75775677,1.0,0.1,1.1914218566392478,2022-09-26 08:17:38+02:00,2022-09-26 12:18:17+02:00,240.65,2022-09-26
211226940,SEHO,Passenger,5104253,1,0.9975501,0.9975501,0.9,0.9,2022-09-26 11:14:58+02:00,2022-09-26 11:14:58+02:00,0.0,2022-09-26
211846360,,Undefined,,4,0.9953798,0.9953798,2.2,2.525,2022-09-26 16:00:49+02:00,2022-09-26 16:01:15+02:00,0.43333333333333335,2022-09-26
244677000,BOSCH,Undefined,9429986,9234,0.8708855,0.989641,0.1,1.998029023175222,2022-09-26 02:05:55+02:00,2022-09-27 01:59:48+02:00,1433.8833333333334,2022-09-26
266076000,SVANEN,Fishing,8918655,641,0.90625,0.9878307,0.3,2.1062402496099843,2022-09-26 06:54:36+02:00,2022-09-26 18:02:03+02:00,667.45,2022-09-26
210393000,LEILA,Cargo,8906224,17,0.8282031,0.98721015,3.7,3.8529411764705883,2022-09-27 01:36:37+02:00,2022-09-27 01:44:26+02:00,7.816666666666666,2022-09-26
219009183,FORTUNA KA56,Fishing,,65,0.8651808,0.9785949,0.2,2.209230769230769,2022-09-26 06:03:36+02:00,2022-09-26 10:21:22+02:00,257.76666666666665,2022-09-26
261002219,RUMCAJS,Sailing,,176,0.8460501,0.9785092,1.7,3.3318181818181816,2022-09-26 10:07:58+02:00,2022-09-26 12:48:29+02:00,160.51666666666668,2022-09-26
